[2023-02-05 19:57:52,145] {/home/amin/Desktop/HW12/logic.py:106} 8500-INFO-withdrawl was successful
[2023-02-05 19:57:52,146] {/home/amin/Desktop/HW12/logic.py:40} 8500-ERROR-could not authenticate
[2023-02-05 19:57:52,147] {/home/amin/Desktop/HW12/logic.py:29} 8500-INFO-user was created
[2023-02-05 19:57:52,147] {/home/amin/Desktop/HW12/logic.py:32} 8500-ERROR-could not create user
[2023-02-05 19:57:52,147] {/home/amin/Desktop/HW12/logic.py:32} 8500-ERROR-could not create user
[2023-02-05 19:57:52,147] {/home/amin/Desktop/HW12/logic.py:32} 8500-ERROR-could not create user
[2023-02-05 19:58:15,059] {/home/amin/Desktop/HW12/logic.py:136} 8564-ERROR-could not authenticate
[2023-02-05 19:58:15,059] {/home/amin/Desktop/HW12/logic.py:91} 8564-ERROR-could not deposit
[2023-02-05 19:58:15,059] {/home/amin/Desktop/HW12/logic.py:114} 8564-ERROR-invalid amount for transaction
[2023-02-05 19:58:15,059] {/home/amin/Desktop/HW12/logic.py:106} 8564-INFO-withdrawl was successful
[2023-02-05 19:58:15,060] {/home/amin/Desktop/HW12/logic.py:40} 8564-ERROR-could not authenticate
[2023-02-05 19:58:15,060] {/home/amin/Desktop/HW12/logic.py:29} 8564-INFO-user was created
[2023-02-05 19:58:15,060] {/home/amin/Desktop/HW12/logic.py:32} 8564-ERROR-could not create user
[2023-02-05 19:58:15,060] {/home/amin/Desktop/HW12/logic.py:32} 8564-ERROR-could not create user
[2023-02-05 19:58:15,060] {/home/amin/Desktop/HW12/logic.py:32} 8564-ERROR-could not create user
[2023-02-05 19:59:32,975] {/home/amin/Desktop/HW12/logic.py:136} 8647-ERROR-could not authenticate
[2023-02-05 19:59:32,975] {/home/amin/Desktop/HW12/logic.py:91} 8647-ERROR-could not deposit
[2023-02-05 19:59:32,975] {/home/amin/Desktop/HW12/logic.py:114} 8647-ERROR-invalid amount for transaction
[2023-02-05 19:59:32,975] {/home/amin/Desktop/HW12/logic.py:106} 8647-INFO-withdrawl was successful
[2023-02-05 19:59:32,976] {/home/amin/Desktop/HW12/logic.py:40} 8647-ERROR-could not authenticate
[2023-02-05 19:59:32,977] {/home/amin/Desktop/HW12/logic.py:29} 8647-INFO-user was created
[2023-02-05 19:59:32,977] {/home/amin/Desktop/HW12/logic.py:32} 8647-ERROR-could not create user
[2023-02-05 19:59:32,977] {/home/amin/Desktop/HW12/logic.py:32} 8647-ERROR-could not create user
[2023-02-05 19:59:32,977] {/home/amin/Desktop/HW12/logic.py:32} 8647-ERROR-could not create user
[2023-02-05 20:01:09,759] {/home/amin/Desktop/HW12/logic.py:136} 8795-ERROR-could not authenticate
[2023-02-05 20:01:09,759] {/home/amin/Desktop/HW12/logic.py:91} 8795-ERROR-could not deposit
[2023-02-05 20:01:09,760] {/home/amin/Desktop/HW12/logic.py:114} 8795-ERROR-invalid amount for transaction
[2023-02-05 20:01:09,760] {/home/amin/Desktop/HW12/logic.py:106} 8795-INFO-withdrawl was successful
[2023-02-05 20:01:09,760] {/home/amin/Desktop/HW12/logic.py:40} 8795-ERROR-could not authenticate
[2023-02-05 20:01:09,760] {/home/amin/Desktop/HW12/logic.py:29} 8795-INFO-user was created
[2023-02-05 20:01:09,761] {/home/amin/Desktop/HW12/logic.py:32} 8795-ERROR-could not create user
